State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2200,2500,2350
"Tamil Nadu",Kallakuruchi,"Sankarapuram(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Krishnagiri,"Denkanikottai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Salem,"Ammapet(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Theni,"Theni(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Thirunelveli,"Kandiyaperi(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Salem,"Edapadi (Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2400,2800,2600
"Tamil Nadu",Thiruchirappalli,"Lalgudi(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Madurai,"Chokkikulam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Thiruvarur,"Valangaiman APMC",Tomato,Deshi,Local,10/09/2026,2600,3000,2800
"Tamil Nadu",Vellore,"Katpadi (Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3000,3000
"Tamil Nadu",Pudukkottai,"Aranthangi(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,3000,3500,3250
"Tamil Nadu",Chengalpattu,"Guduvancheri(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Thirupur,"Dharapuram(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,1500,2000,1750
"Tamil Nadu",Kallakuruchi,"Kallakurichi(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3000,3000
"Tamil Nadu",Coimbatore,"Singanallur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Cuddalore,"Chidambaram(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,3000,3000,3000
"Tamil Nadu",Tuticorin,"Tuticorin(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Karambakkudi(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Thirupathur APMC",Tomato,Deshi,Local,10/09/2026,3500,3500,3500
"Tamil Nadu",Dharmapuri,"Harur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu","The Nilgiris","Coonoor(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2600,3000,2800
"Tamil Nadu",Erode,"Periyar Nagar(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2600,2300
"Tamil Nadu",Madurai,"Anaiyur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Namakkal,"Kumarapalayam(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2400,3200,2800
"Tamil Nadu",Namakkal,"Mohanur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,3000,2500
"Tamil Nadu",Salem,"Mettur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2000,2800,2400
"Tamil Nadu",Theni,"Chinnamanur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Thirunelveli,"Palayamkottai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Thirupur,"Tiruppur (North) (Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2200,2500,2350
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Pudukkottai,"Gandarvakottai(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,3000,3400,3200
"Tamil Nadu",Karur,"Pallapatti (Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Salem,"Hasthampatti(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2400,2200
"Tamil Nadu",Theni,"Bodinayakanur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,2400,2800,2600
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Tomato,Other,Local,10/09/2026,2800,3000,2900
"Tamil Nadu",Coimbatore,"Udumalpet APMC",Tomato,Deshi,Local,10/09/2026,1800,2400,2100
"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Namakkal,"Tiruchengode APMC",Tomato,Deshi,Local,10/09/2026,2600,3000,2800
"Tamil Nadu",Coimbatore,"Pollachi(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu","The Nilgiris","Gudalur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2500,3000,2750
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2400,2600,2500
"Tamil Nadu",Dharmapuri,"Pennagaram(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2800,3000,2900
"Tamil Nadu",Dindigul,"Chinnalapatti(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Kancheepuram,"Sunguvarchatram(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Krishnagiri,"Avallapalli(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2000,2500,2250
"Tamil Nadu",Namakkal,"Paramathivelur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2800,3300,3050
"Tamil Nadu",Madurai,"Anna nagar(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Perambalur,"Perambalur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,3000,3600,3300
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,2500,2800,2650
"Tamil Nadu",Thirunelveli,"Melapalayam(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2600,2800,2700
"Tamil Nadu",Thiruvarur,"Muthupettai(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2600,2600,2600
"Tamil Nadu",Cuddalore,"Vadalur(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2500,2500,2500
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Tomato,Deshi,Local,10/09/2026,3200,3200,3200
"Tamil Nadu",Sivaganga,"Karaikudi(Uzhavar Sandhai )",Tomato,Local,Local,10/09/2026,2800,3000,2900
"Tamil Nadu",Thanjavur,"Thanjavur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Thiruchirappalli,"Manachanallur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
"Tamil Nadu",Thiruchirappalli,"Manapparai(Uzhavar Sandhai )",Tomato,Other,Local,10/09/2026,2600,2600,2600
"Tamil Nadu",Thiruchirappalli,"Thiruverumbur(Uzhavar Sandhai )",Tomato,Deshi,Local,10/09/2026,2800,2800,2800
